episode,frames,return,misbehave,Lc,La,ratio,test
154.0,11840.0,0.0,1.0,0.015777015785934056,-0.2869965398311615,0.2571428571428571,0.0
155.0,11940.0,0.0,0.0,0.015203530790749938,-0.283283024430275,0.06,0.0
156.0,12008.0,1.0,0.0,0.015155963970216816,-0.2786890059709549,0.1323529411764706,0.0
157.0,12108.0,0.0,0.0,0.015049185761486115,-0.2708233588933945,0.17,0.0
158.0,12160.0,0.0,1.0,0.013521786215484326,-0.2676490247249603,0.17307692307692307,0.0
159.0,12260.0,0.0,0.0,0.013957807329134084,-0.2640704151988029,0.17,0.0
160.0,12360.0,0.0,0.0,0.012793415210935563,-0.2604814925789833,0.12,0.0
161.0,12395.0,0.0,1.0,0.013106585417267525,-0.25526151061058044,0.22857142857142856,0.0
162.0,12469.0,0.0,1.0,0.015286005028610817,-0.24803404599428178,0.13513513513513514,0.0
163.0,12569.0,0.0,0.0,0.012458863048796048,-0.24504535734653474,0.18,0.0
164.0,12635.0,0.0,1.0,0.014106545503660257,-0.24404207706451417,0.16666666666666666,0.0
165.0,12735.0,0.0,0.0,0.01589102395446389,-0.23840684950351715,0.14,0.0
166.0,12781.0,0.0,1.0,0.01358222518485661,-0.23178565114736557,0.08695652173913043,0.0
167.0,12881.0,0.0,0.0,0.01297639979560472,-0.22736772626638413,0.13,0.0
168.0,12964.0,0.0,1.0,0.013881681051570923,-0.22608795911073684,0.13253012048192772,0.0
169.0,13016.0,0.0,1.0,0.012435394128333428,-0.22197011440992356,0.17307692307692307,0.0
170.0,13116.0,0.0,0.0,0.012818764682015172,-0.21755125403404235,0.13,0.0
171.0,13216.0,0.0,0.0,0.010941748047043802,-0.2099338784813881,0.15,0.0
172.0,13271.0,0.0,1.0,0.009634213111303325,-0.2092735728621483,0.2,0.0
173.0,13329.0,0.0,1.0,0.013482375498751935,-0.20488155841827393,0.20689655172413793,0.0
174.0,13403.0,0.0,1.0,0.01396990517757672,-0.20097431421279907,0.13513513513513514,0.0
175.0,13452.0,0.0,1.0,0.014093389777966188,-0.1997251695394516,0.1836734693877551,0.0
176.0,13521.0,1.0,0.0,0.00872761495615123,-0.19366529017686843,0.2318840579710145,0.0
177.0,13568.0,0.0,1.0,0.010316872872353998,-0.1936453500390053,0.2765957446808511,0.0
178.0,13658.0,0.0,1.0,0.012995241798689107,-0.1867573517560959,0.15555555555555556,0.0
179.0,13758.0,0.0,0.0,0.009909406400958947,-0.1845296025276184,0.17,0.0
180.0,13858.0,0.0,0.0,0.009644620976812348,-0.18135096341371537,0.16,0.0
181.0,13909.0,0.0,1.0,0.013238916827333469,-0.17779258280992508,0.0784313725490196,0.0
182.0,13964.0,0.0,1.0,0.011317172156144579,-0.17438386350870133,0.09090909090909091,0.0
183.0,13999.0,0.0,1.0,0.007363093786742923,-0.17283985882997513,0.14285714285714285,0.0
184.0,14072.0,1.0,0.0,0.008362305105636096,-0.17098138958215714,0.1643835616438356,0.0
185.0,14132.0,0.0,1.0,0.01217045140382325,-0.16739697903394699,0.18333333333333332,0.0
186.0,14183.0,0.0,1.0,0.009339956361167556,-0.1609593325853348,0.11764705882352941,0.0
187.0,14228.0,0.0,1.0,0.011963824023437123,-0.15978930801153182,0.2222222222222222,0.0
188.0,14328.0,0.0,0.0,0.014157682540107998,-0.1570743963122368,0.2,0.0
189.0,14428.0,0.0,0.0,0.00882636510536031,-0.15392958760261535,0.14,0.0
190.0,14528.0,0.0,0.0,0.010892282415308218,-0.15066493511199952,0.13,0.0
191.0,14628.0,0.0,0.0,0.007318739073816687,-0.14724855571985246,0.16,0.0
192.0,14677.0,0.0,1.0,0.012230834261824572,-0.14543745934963226,0.12244897959183673,0.0
193.0,14777.0,0.0,0.0,0.009055574579829955,-0.14219973772764205,0.13,0.0
194.0,14873.0,0.0,1.0,0.009136289620638772,-0.13841390132904052,0.17708333333333334,0.0
195.0,14973.0,0.0,0.0,0.009333247993708155,-0.13600415095686913,0.26,0.0
196.0,15073.0,0.0,0.0,0.009112145443118606,-0.13442252829670906,0.18,0.0
197.0,15137.0,0.0,1.0,0.012272200081897751,-0.13670216545462607,0.171875,0.0
198.0,15208.0,0.0,1.0,0.009076583900267679,-0.1281464856863022,0.2535211267605634,0.0
199.0,15308.0,0.0,0.0,0.008671001908760445,-0.12832543686032294,0.19,0.0
200.0,15405.0,0.0,1.0,0.009098938660936256,-0.12471685469150544,0.12371134020618557,0.0
201.0,15475.0,0.0,1.0,0.007036414779686311,-0.12258650794625282,0.17142857142857143,0.0
202.0,15540.0,0.0,1.0,0.007215842345190424,-0.12190996125340461,0.24615384615384617,0.0
203.0,15640.0,0.0,0.0,0.009596846161976345,-0.11971742704510689,0.18,0.0
204.0,15740.0,0.0,0.0,0.00666829552616119,-0.11824700638651847,0.2,0.0
205.0,15790.0,0.0,1.0,0.007259581348721582,-0.1155883638560772,0.12,0.0
206.0,15833.0,0.0,1.0,0.008225943084387635,-0.11460519030690193,0.20930232558139536,0.0
207.0,15926.0,0.0,1.0,0.007678966576603619,-0.11385361775755883,0.1827956989247312,0.0
208.0,16026.0,0.0,0.0,0.007437387752573272,-0.10810070991516113,0.19,0.0
209.0,16126.0,0.0,0.0,0.005437894244179624,-0.1056388758122921,0.28,0.0
210.0,16199.0,0.0,1.0,0.007956387108654966,-0.10698592469096184,0.2876712328767123,0.0
211.0,16253.0,0.0,1.0,0.007875491619911058,-0.10396740362048149,0.16666666666666666,0.0
212.0,16321.0,0.0,1.0,0.007994352318968367,-0.10273551791906357,0.25,0.0
213.0,16382.0,0.0,1.0,0.008287386613523254,-0.10144334256649018,0.19672131147540983,0.0
214.0,16450.0,0.0,1.0,0.007201846997239727,-0.09864401265978813,0.22058823529411764,0.0
215.0,16550.0,0.0,0.0,0.006008859749866051,-0.09580112442374229,0.22,0.0
216.0,16599.0,0.0,1.0,0.006985258607756791,-0.09283296138048172,0.12244897959183673,0.0
217.0,16699.0,0.0,0.0,0.004416011518028711,-0.09455380588769913,0.23,0.0
218.0,16747.0,0.0,1.0,0.004866566319894718,-0.09107769638299942,0.16666666666666666,0.0
219.0,16847.0,0.0,0.0,0.006056566100543677,-0.08892004251480103,0.16,0.0
220.0,16947.0,0.0,0.0,0.005620189013937487,-0.08817384004592896,0.18,0.0
221.0,17023.0,0.0,1.0,0.005357621336963091,-0.08540698379278183,0.17105263157894737,0.0
222.0,17094.0,1.0,0.0,0.007782791802528663,-0.08402826473116874,0.19718309859154928,0.0
223.0,17194.0,0.0,0.0,0.006580696581779169,-0.07990876957774162,0.18,0.0
224.0,17246.0,0.0,1.0,0.006948643097423712,-0.08003694221377372,0.25,0.0
225.0,17290.0,1.0,0.0,0.007333629468994332,-0.0768413570523262,0.38636363636363635,0.0
226.0,17387.0,0.0,1.0,0.0074990532671731815,-0.07636127814650535,0.24742268041237114,0.0
227.0,17487.0,0.0,0.0,0.006909894822019851,-0.07665874242782593,0.23,0.0
228.0,17555.0,0.0,1.0,0.0056138938632793334,-0.07501621879637241,0.22058823529411764,0.0
229.0,17622.0,0.0,1.0,0.005527430766042016,-0.0735640013217926,0.19402985074626866,0.0
230.0,17722.0,0.0,0.0,0.005735252263487169,-0.07558266110718251,0.17,0.0
231.0,17822.0,0.0,0.0,0.006071729952163167,-0.0727420211583376,0.26,0.0
232.0,17922.0,0.0,0.0,0.005212733340455555,-0.07202509954571724,0.22,0.0
233.0,17961.0,0.0,1.0,0.0077611580388081665,-0.0704961808025837,0.1282051282051282,0.0
234.0,18017.0,0.0,1.0,0.004841424799503517,-0.069627028927207,0.14285714285714285,0.0
235.0,18050.0,0.0,1.0,0.0058186019653726365,-0.06993659101426601,0.3939393939393939,0.0
236.0,18109.0,0.0,1.0,0.005744117455442392,-0.06741092570126056,0.3050847457627119,0.0
237.0,18205.0,0.0,1.0,0.005539251733201383,-0.06603560604155063,0.1875,0.0
238.0,18249.0,0.0,1.0,0.005628427616006359,-0.0645696996152401,0.29545454545454547,0.0
239.0,18349.0,0.0,0.0,0.0055553098577654225,-0.06349198959767818,0.13,0.0
240.0,18427.0,0.0,1.0,0.005994603243816335,-0.06064633540809154,0.20512820512820512,0.0
241.0,18527.0,0.0,0.0,0.003840640059777756,-0.06036216162145138,0.39,0.0
242.0,18584.0,0.0,1.0,0.005982580106997285,-0.06104843318462372,0.21052631578947367,0.0
243.0,18684.0,0.0,0.0,0.004097659417466132,-0.06262371994554997,0.21,0.0
244.0,18743.0,0.0,1.0,0.006258216319540488,-0.06193425104022026,0.3050847457627119,0.0
245.0,18843.0,0.0,0.0,0.00783620347840241,-0.059255385771393776,0.26,0.0
246.0,18943.0,0.0,0.0,0.004071258438516452,-0.054039758518338206,0.36,0.0
247.0,18991.0,0.0,1.0,0.005439027315411558,-0.051726723909378054,0.2916666666666667,0.0
248.0,19091.0,0.0,0.0,0.005634155087896925,-0.05117406889796257,0.29,0.0
249.0,19159.0,0.0,1.0,0.006655525419043142,-0.05062130153179169,0.3088235294117647,0.0
250.0,19259.0,0.0,0.0,0.006393574626956706,-0.050368047505617144,0.3,0.0
251.0,19351.0,0.0,1.0,0.006246202245152928,-0.05143230676651001,0.21739130434782608,0.0
252.0,19451.0,0.0,0.0,0.004115112431153048,-0.047932891882956026,0.17,0.0
253.0,19486.0,0.0,1.0,0.004081339287507194,-0.046700661703944206,0.42857142857142855,0.0
254.0,19549.0,0.0,1.0,0.006062080096980385,-0.04487426728010178,0.2857142857142857,0.0
255.0,19649.0,0.0,0.0,0.005529519809851684,-0.04729080334305763,0.23,0.0
256.0,19749.0,0.0,0.0,0.004068046688166013,-0.045290637984871866,0.2,0.0
257.0,19798.0,0.0,1.0,0.00300215110751743,-0.04426678348332644,0.1836734693877551,0.0
258.0,19898.0,0.0,0.0,0.0025138424577038888,-0.041524067036807534,0.18,0.0
259.0,19998.0,0.0,0.0,0.004825238713628206,-0.04215080477297306,0.17,0.0
260.0,20049.0,0.0,1.0,0.0064489287379558445,-0.04049508154392242,0.29411764705882354,0.0
261.0,20095.0,0.0,1.0,0.006419717084233767,-0.03986728262156248,0.17391304347826086,0.0
262.0,20144.0,0.0,1.0,0.005179153393332854,-0.03940907519310713,0.46938775510204084,0.0
263.0,20244.0,0.0,0.0,0.005266253788672688,-0.03833522140979767,0.23,0.0
264.0,20344.0,0.0,0.0,0.003722649082572489,-0.03664904981851578,0.22,0.0
265.0,20444.0,0.0,0.0,0.004131343997393204,-0.035364211387932304,0.26,0.0
266.0,20515.0,0.0,1.0,0.0029545023960121874,-0.03676451064646244,0.22535211267605634,0.0
267.0,20615.0,0.0,0.0,0.004746076157525534,-0.0355319045484066,0.32,0.0
268.0,20684.0,0.0,1.0,0.0030605709959497635,-0.032497031185775994,0.2753623188405797,0.0
269.0,20784.0,0.0,0.0,0.004906706752994257,-0.0332286923751235,0.3,0.0
270.0,20884.0,0.0,0.0,0.006542938474376818,-0.03353902280330658,0.3,0.0
271.0,20958.0,0.0,1.0,0.0038244812079392065,-0.0322378402762115,0.2702702702702703,0.0
272.0,21058.0,0.0,0.0,0.0046954865152281245,-0.030199084207415582,0.27,0.0
273.0,21123.0,0.0,1.0,0.0040188789901137055,-0.029058069568127395,0.26153846153846155,0.0
274.0,21223.0,0.0,0.0,0.005543558129195151,-0.026500123497098686,0.21,0.0
275.0,21323.0,0.0,0.0,0.0026039736500995986,-0.025122074987739326,0.26,0.0
276.0,21371.0,0.0,1.0,0.003490415026465289,-0.02624337013810873,0.25,0.0
277.0,21430.0,0.0,1.0,0.003948147476720611,-0.0250091802328825,0.22033898305084745,0.0
278.0,21482.0,0.0,1.0,0.00448344553124258,-0.021499088634736836,0.3076923076923077,0.0
279.0,21582.0,0.0,0.0,0.0033114826110816863,-0.01976569158490747,0.26,0.0
280.0,21645.0,0.0,1.0,0.0054981826216809115,-0.020232518166303635,0.2698412698412698,0.0
281.0,21745.0,0.0,0.0,0.0027661037552707056,-0.020623012632131576,0.28,0.0
